RUT Administradora;Raz. Social Administradora;RUN Fondo;Nombre Fondo;Nombre Corto;Fecha Res. Aprobación del RI;Nro. Res. Aprobación del RI;Tipo de Fondo Mutuo;Fecha Inicio Operaciones;Fecha Término Operaciones;Moneda
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8298;FONDO MUTUO SECURITY DIVERSIFICACION;DIVERSIFICACION;07/05/2004;236;6;31/05/2004;02/10/2015;$$
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8298;FONDO MUTUO SECURITY DIVERSIFICACION;DIVERSIFICACION;07/05/2004;236;6;31/05/2004;02/10/2015;$$
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8095;FONDO MUTUO SECURITY GLOBAL INVESTMENT;GLOBAL INVESTMENT;01/10/1996;235;5;29/10/1996;21/02/2005;PROM
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8095;FONDO MUTUO SECURITY GLOBAL INVESTMENT;GLOBAL INVESTMENT;01/10/1996;235;5;29/10/1996;21/02/2005;PROM
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;10345;FONDO MUTUO SECURITY ESTRUCTURADO PESOS;FM ESTRUCTURADO CLP;29/09/2022;;7;29/09/2022;09/04/2024;$$
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;10345;FONDO MUTUO SECURITY ESTRUCTURADO PESOS;FM ESTRUCTURADO CLP;29/09/2022;;7;29/09/2022;09/04/2024;$$
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8490;FONDO MUTUO SECURITY SELECTIVO;SELECTIVO;27/12/2006;604;5;28/12/2006;10/07/2025;$$
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8490;FONDO MUTUO SECURITY SELECTIVO;SELECTIVO;27/12/2006;604;5;28/12/2006;10/07/2025;$$
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8491;FONDO MUTUO SECURITY NOMINAL;NOMINAL;27/12/2006;603;3;28/12/2006;02/10/2015;$$
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8491;FONDO MUTUO SECURITY NOMINAL;NOMINAL;27/12/2006;603;3;28/12/2006;02/10/2015;$$
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8568;FONDO MUTUO SECURITY MUNDO EMERGENTE;SECURITY MUNDO EMERG;24/12/2007;650;5;27/12/2007;28/05/2016;PROM
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8568;FONDO MUTUO SECURITY MUNDO EMERGENTE;SECURITY MUNDO EMERG;24/12/2007;650;5;27/12/2007;28/05/2016;PROM
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8567;FONDO MUTUO SECURITY LATINOAMERICANO;LATINOAMERICANO;21/12/2007;643;4;27/12/2007;02/10/2015;PROM
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8567;FONDO MUTUO SECURITY LATINOAMERICANO;LATINOAMERICANO;21/12/2007;643;4;27/12/2007;02/10/2015;PROM
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8461;FONDO MUTUO SECURITY ENERGY  FUND;ENERGY FUND;08/09/2006;401;6;27/11/2006;10/01/2013;PROM
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;8461;FONDO MUTUO SECURITY ENERGY  FUND;ENERGY FUND;08/09/2006;401;6;27/11/2006;10/01/2013;PROM
96639280;ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.;9610;FONDO MUTUO FONDO ACTIVO 2055;ACTIVO 2055;27/04/2018;;6;27/04/2018;;$$
